%   Freq/Hz         Amplitude
 3.192139e+01  8.216545e-01
 3.198242e+01  8.277786e-01
 3.204346e+01  8.261129e-01
 3.210449e+01  8.307368e-01
 3.216553e+01  8.334528e-01
 3.222656e+01  8.241234e-01
 3.228760e+01  8.265629e-01
 3.234863e+01  8.302197e-01
 3.240967e+01  8.325718e-01
 3.247070e+01  8.325596e-01
 3.253174e+01  8.323565e-01
 3.259277e+01  8.266977e-01
 3.265381e+01  8.329082e-01
 3.271484e+01  8.283432e-01
 3.277588e+01  8.320859e-01
 3.283691e+01  8.175707e-01
 3.289795e+01  8.288446e-01
 3.295898e+01  8.236600e-01
 3.302002e+01  8.293765e-01
 3.308105e+01  8.253222e-01
 3.314209e+01  8.176826e-01
 3.320312e+01  8.321183e-01
 3.326416e+01  8.221608e-01
 3.332520e+01  8.372875e-01
 3.338623e+01  8.165619e-01
 3.344727e+01  8.275774e-01
 3.350830e+01  8.183895e-01
 3.356934e+01  8.281316e-01
 3.363037e+01  8.321151e-01
 3.369141e+01  8.273754e-01
 3.375244e+01  8.242212e-01
 3.381348e+01  8.245396e-01
 3.387451e+01  8.251246e-01
 3.393555e+01  8.305667e-01
 3.399658e+01  8.275704e-01
 3.405762e+01  8.311145e-01
 3.411865e+01  8.190972e-01
 3.417969e+01  8.297731e-01
 3.424072e+01  8.217503e-01
 3.430176e+01  8.372208e-01
 3.436279e+01  8.208982e-01
 3.442383e+01  8.282827e-01
 3.448486e+01  8.117805e-01
 3.454590e+01  8.178077e-01
 3.460693e+01  8.230021e-01
 3.466797e+01  8.304427e-01
 3.472900e+01  8.291251e-01
 3.479004e+01  8.250285e-01
 3.485107e+01  8.133983e-01
 3.491211e+01  8.166403e-01
 3.497314e+01  8.087831e-01
 3.503418e+01  8.230551e-01
 3.509521e+01  8.126249e-01
 3.515625e+01  8.268219e-01
 3.521729e+01  8.160838e-01
 3.527832e+01  8.226356e-01
 3.533936e+01  8.144951e-01
 3.540039e+01  8.173898e-01
 3.546143e+01  8.160059e-01
 3.552246e+01  8.191359e-01
 3.558350e+01  8.151288e-01
 3.564453e+01  8.159822e-01
 3.570557e+01  7.990472e-01
 3.576660e+01  8.101532e-01
 3.582764e+01  8.047971e-01
 3.588867e+01  8.132371e-01
 3.594971e+01  8.133540e-01
 3.601074e+01  8.079037e-01
 3.607178e+01  8.031186e-01
 3.613281e+01  7.933998e-01
 3.619385e+01  8.008813e-01
 3.625488e+01  7.920529e-01
 3.631592e+01  7.974789e-01
 3.637695e+01  7.955213e-01
 3.643799e+01  7.959446e-01
 3.649902e+01  7.948386e-01
 3.656006e+01  7.918832e-01
 3.662109e+01  7.869930e-01
 3.668213e+01  7.827982e-01
 3.674316e+01  7.785013e-01
 3.680420e+01  7.773820e-01
 3.686523e+01  7.820212e-01
 3.692627e+01  7.794101e-01
 3.698730e+01  7.862169e-01
 3.704834e+01  7.667611e-01
 3.710938e+01  7.819761e-01
 3.717041e+01  7.660345e-01
 3.723145e+01  7.716189e-01
 3.729248e+01  7.697744e-01
 3.735352e+01  7.670941e-01
 3.741455e+01  7.736147e-01
 3.747559e+01  7.695403e-01
 3.753662e+01  7.698515e-01
 3.759766e+01  7.664597e-01
 3.765869e+01  7.688327e-01
 3.771973e+01  7.609237e-01
 3.778076e+01  7.681057e-01
 3.784180e+01  7.527620e-01
 3.790283e+01  7.558815e-01
 3.796387e+01  7.590719e-01
 3.802490e+01  7.559109e-01
 3.808594e+01  7.672716e-01
 3.814697e+01  7.588277e-01
 3.820801e+01  7.607009e-01
 3.826904e+01  7.665532e-01
 3.833008e+01  7.594421e-01
 3.839111e+01  7.716247e-01
 3.845215e+01  7.614687e-01
 3.851318e+01  7.605274e-01
 3.857422e+01  7.612868e-01
 3.863525e+01  7.606708e-01
 3.869629e+01  7.608724e-01
 3.875732e+01  7.619038e-01
 3.881836e+01  7.636484e-01
 3.887939e+01  7.611190e-01
 3.894043e+01  7.654583e-01
 3.900146e+01  7.656963e-01
 3.906250e+01  7.684325e-01
 3.912354e+01  7.711115e-01
 3.918457e+01  7.630392e-01
 3.924561e+01  7.764307e-01
 3.930664e+01  7.688076e-01
 3.936768e+01  7.730281e-01
 3.942871e+01  7.773352e-01
 3.948975e+01  7.699341e-01
 3.955078e+01  7.761318e-01
 3.961182e+01  7.743997e-01
 3.967285e+01  7.751215e-01
 3.973389e+01  7.786279e-01
 3.979492e+01  7.784588e-01
 3.985596e+01  7.793808e-01
 3.991699e+01  7.798834e-01
 3.997803e+01  7.849914e-01
 4.003906e+01  7.809343e-01
 4.010010e+01  7.877134e-01
 4.016113e+01  7.890900e-01
 4.022217e+01  7.838706e-01
 4.028320e+01  7.911353e-01
 4.034424e+01  7.882178e-01
 4.040527e+01  7.850628e-01
 4.046631e+01  7.960638e-01
 4.052734e+01  7.911339e-01
 4.058838e+01  7.883260e-01
 4.064941e+01  7.983448e-01
 4.071045e+01  7.961035e-01
 4.077148e+01  7.941864e-01
 4.083252e+01  7.971074e-01
 4.089355e+01  7.955875e-01
 4.095459e+01  7.970950e-01
 4.101562e+01  8.012055e-01
 4.107666e+01  7.989615e-01
 4.113770e+01  7.990597e-01
 4.119873e+01  7.968182e-01
 4.125977e+01  8.027582e-01
 4.132080e+01  8.022354e-01
 4.138184e+01  8.128928e-01
 4.144287e+01  8.097209e-01
 4.150391e+01  8.046611e-01
 4.156494e+01  8.097419e-01
 4.162598e+01  8.127665e-01
 4.168701e+01  8.111527e-01
 4.174805e+01  8.220290e-01
 4.180908e+01  8.241815e-01
 4.187012e+01  8.179027e-01
 4.193115e+01  8.266974e-01
 4.199219e+01  8.254976e-01
 4.205322e+01  8.184095e-01
 4.211426e+01  8.248140e-01
 4.217529e+01  8.296619e-01
 4.223633e+01  8.247944e-01
 4.229736e+01  8.345779e-01
 4.235840e+01  8.296818e-01
 4.241943e+01  8.265556e-01
 4.248047e+01  8.283622e-01
 4.254150e+01  8.270202e-01
 4.260254e+01  8.327960e-01
 4.266357e+01  8.339560e-01
 4.272461e+01  8.330437e-01
 4.278564e+01  8.323773e-01
 4.284668e+01  8.312882e-01
 4.290771e+01  8.244745e-01
 4.296875e+01  8.297650e-01
 4.302979e+01  8.319995e-01
 4.309082e+01  8.269737e-01
 4.315186e+01  8.296900e-01
 4.321289e+01  8.323775e-01
 4.327393e+01  8.240475e-01
 4.333496e+01  8.262511e-01
 4.339600e+01  8.393696e-01
 4.345703e+01  8.341197e-01
 4.351807e+01  8.275129e-01
 4.357910e+01  8.303174e-01
 4.364014e+01  8.305565e-01
 4.370117e+01  8.263233e-01
 4.376221e+01  8.334271e-01
 4.382324e+01  8.345619e-01
 4.388428e+01  8.254142e-01
 4.394531e+01  8.359572e-01
 4.400635e+01  8.371807e-01
 4.406738e+01  8.283399e-01
 4.412842e+01  8.279455e-01
 4.418945e+01  8.368526e-01
 4.425049e+01  8.356687e-01
 4.431152e+01  8.295718e-01
 4.437256e+01  8.294857e-01
 4.443359e+01  8.328579e-01
 4.449463e+01  8.358669e-01
 4.455566e+01  8.280091e-01
 4.461670e+01  8.312521e-01
 4.467773e+01  8.403472e-01
 4.473877e+01  8.354816e-01
 4.479980e+01  8.266633e-01
 4.486084e+01  8.292176e-01
